S 1111
R 52450 18
W 33832 15
R 33832 15
W 31395 20
R 31395 20
W 6253 30
R 6253 30
W 41083 29
R 41083 29
W 17865 30
R 17865 30
W 16496 24
R 16496 24
W 16473 16
R 16473 16
W 30735 5
R 30735 5
W 30498 22
R 30498 22
W 41788 11
R 41788 11
W 5578 18
R 5578 18
W 53714 24
R 53714 24
W 21290 4
R 21290 4
W 8503 14
R 8503 14
W 56024 18
R 56024 18
W 25136 5
R 25136 5
W 26960 27
R 26960 27
W 35061 15
R 35061 15
W 35216 27
R 35216 27
W 49912 29
R 49912 29
W 13074 17
R 13074 17
W 1845 14
R 1845 14
W 36290 21
R 36290 21
W 9536 27
R 9536 27
W 47751 17
R 47751 17
W 7868 3
R 7868 3
W 24699 7
R 24699 7
W 18175 19
R 18175 19
W 43896 28
R 43896 28
W 918 23
R 918 23
W 13904 29
R 13904 29
W 17744 16
R 17744 16
W 8857 18
R 8857 18
W 8541 17
R 8541 17
W 6070 8
R 6070 8
W 23427 6
R 23427 6
W 51133 31
R 51133 31
W 40499 21
R 40499 21
W 41470 3
R 41470 3
W 23141 28
R 23141 28
W 35824 19
R 35824 19
W 19670 18
R 19670 18
W 18864 19
R 18864 19
W 40978 5
R 40978 5
W 39948 3
R 39948 3
W 39800 26
R 39800 26
W 51566 18
R 51566 18
W 20988 21
R 20988 21
W 36622 4
R 36622 4
W 38960 14
R 38960 14
W 22446 16
R 22446 16
W 53644 30
R 53644 30
W 13933 4
R 13933 4
W 38123 30
R 38123 30
W 21298 1
R 21298 1
W 21744 21
R 21744 21
W 18546 20
R 18546 20
W 52111 14
R 52111 14
W 54684 7
R 54684 7
W 34634 19
R 34634 19
W 12105 7
R 12105 7
W 17412 4
R 17412 4
W 906 18
R 906 18
W 9406 26
R 9406 26
W 2393 25
R 2393 25
W 14684 27
R 14684 27
W 37026 22
R 37026 22
W 41074 19
R 41074 19
W 39591 11
R 39591 11
W 40826 25
R 40826 25
W 9390 9
R 9390 9
W 44285 30
R 44285 30
W 22065 16
R 22065 16
W 57154 1
R 57154 1
W 9261 25
R 9261 25
W 48501 26
R 48501 26
W 43342 25
R 43342 25
W 19501 22
R 19501 22
W 38777 17
R 38777 17
W 8049 29
R 8049 29
W 3545 20
R 3545 20
W 8665 17
R 8665 17
W 25526 15
R 25526 15
W 25995 29
R 25995 29
W 47017 19
R 47017 19
W 52280 3
R 52280 3
W 55664 2
R 55664 2
W 18808 20
R 18808 20
W 12737 9
R 12737 9
W 31598 3
R 31598 3
W 44871 3
R 44871 3
W 35172 29
R 35172 29
W 23132 21
R 23132 21
W 1391 4
R 1391 4
W 9852 30
R 9852 30
W 37543 13
R 37543 13
W 23982 22
R 23982 22
W 45777 24
R 45777 24
W 14028 29
R 14028 29
W 40899 26
R 40899 26
W 15715 11
R 15715 11
W 51917 7
R 51917 7
W 9520 23
R 9520 23
W 34421 22
R 34421 22
W 15617 13
R 15617 13
W 36063 28
R 36063 28
W 23239 16
R 23239 16
W 17630 7
R 17630 7
W 52180 8
R 52180 8
W 34553 6
R 34553 6
W 12078 9
R 12078 9
W 18085 22
R 18085 22
W 36385 12
R 36385 12
W 11841 30
R 11841 30
W 12756 1
R 12756 1
W 37730 20
R 37730 20
W 14847 17
R 14847 17
W 34314 16
R 34314 16
W 29302 19
R 29302 19
W 30240 3
R 30240 3
W 3683 29
R 3683 29
W 39871 10
R 39871 10
W 6466 20
R 6466 20
W 56909 13
R 56909 13
W 2795 24
R 2795 24
W 5990 31
R 5990 31
W 24295 3
R 24295 3
W 34550 26
R 34550 26
W 14211 31
R 14211 31
W 37365 20
R 37365 20
W 25404 12
R 25404 12
W 30862 9
R 30862 9
W 41863 31
R 41863 31
W 56427 31
R 56427 31
W 2840 30
R 2840 30
W 50548 13
R 50548 13
W 30091 30
R 30091 30
W 17061 3
R 17061 3
W 25042 4
R 25042 4
W 29668 9
R 29668 9
W 26169 31
R 26169 31
W 34519 25
R 34519 25
W 43350 26
R 43350 26
W 37416 13
R 37416 13
W 49924 9
R 49924 9
W 2608 23
R 2608 23
W 26996 4
R 26996 4
W 41852 15
R 41852 15
W 33111 21
R 33111 21
W 761 18
R 761 18
W 53874 14
R 53874 14
W 34282 11
R 34282 11
W 18850 18
R 18850 18
W 46795 23
R 46795 23
W 51585 27
R 51585 27
W 55345 15
R 55345 15
W 46585 4
R 46585 4
W 5338 26
R 5338 26
W 36053 22
R 36053 22
W 16425 19
R 16425 19
W 51999 6
R 51999 6
W 22042 15
R 22042 15
W 44312 6
R 44312 6
W 8592 8
R 8592 8
W 39293 7
R 39293 7
W 47838 12
R 47838 12
W 3319 21
R 3319 21
W 54253 27
R 54253 27
W 2391 31
R 2391 31
W 49677 26
R 49677 26
W 54631 16
R 54631 16
W 8851 19
R 8851 19
W 14663 11
R 14663 11
W 2737 13
R 2737 13
W 48752 17
R 48752 17
W 5623 27
R 5623 27
W 30004 5
R 30004 5
W 48676 27
R 48676 27
W 34216 5
R 34216 5
W 37052 3
R 37052 3
W 1085 24
R 1085 24
W 43797 29
R 43797 29
W 44131 3
R 44131 3
W 10190 16
R 10190 16
W 18875 9
R 18875 9
W 26772 24
R 26772 24
W 50203 14
R 50203 14
W 51844 7
R 51844 7
W 41621 19
R 41621 19
W 41855 23
R 41855 23
W 8207 14
R 8207 14
W 2710 20
R 2710 20
W 9608 25
R 9608 25
W 46993 27
R 46993 27
W 43118 15
R 43118 15
W 51797 6
R 51797 6
W 37864 10
R 37864 10
W 40416 18
R 40416 18
W 5230 23
R 5230 23
W 54791 9
R 54791 9
W 44939 9
R 44939 9
W 32076 19
R 32076 19
W 51650 5
R 51650 5
W 28936 11
R 28936 11
W 15621 11
R 15621 11
W 52574 23
R 52574 23
W 52734 17
R 52734 17
W 45657 7
R 45657 7
W 32942 23
R 32942 23
W 40630 5
R 40630 5
W 45623 29
R 45623 29
W 46535 11
R 46535 11
W 56951 9
R 56951 9
W 26220 14
R 26220 14
W 14679 25
R 14679 25
W 20750 26
R 20750 26
W 31502 17
R 31502 17
W 23688 19
R 23688 19
W 5675 4
R 5675 4
W 53544 11
R 53544 11
W 536 28
R 536 28
W 28742 3
R 28742 3
W 30330 10
R 30330 10
W 50077 20
R 50077 20
W 35977 7
R 35977 7
W 8260 4
R 8260 4
W 2912 1
R 2912 1
W 34016 6
R 34016 6
W 18868 6
R 18868 6
W 56508 4
R 56508 4
W 10175 5
R 10175 5
W 27629 29
R 27629 29
W 56357 4
R 56357 4
W 10142 9
R 10142 9
W 30213 12
R 30213 12
W 9602 17
R 9602 17
W 30541 18
R 30541 18
W 18485 17
R 18485 17
W 39015 23
R 39015 23
W 50416 25
R 50416 25
W 44582 29
R 44582 29
W 33712 30
R 33712 30
W 47936 9
R 47936 9
W 41821 2
R 41821 2
W 46045 18
R 46045 18
W 34815 11
R 34815 11
W 52708 27
R 52708 27
W 40554 6
R 40554 6
W 31841 22
R 31841 22
W 48218 2
R 48218 2
W 32463 30
R 32463 30
W 35461 5
R 35461 5
W 30628 1
R 30628 1
W 50147 5
R 50147 5
W 56972 24
R 56972 24
W 21755 19
R 21755 19
W 28168 24
R 28168 24
W 17977 15
R 17977 15
W 41277 17
R 41277 17
W 20029 10
R 20029 10
W 35248 15
R 35248 15
W 28855 19
R 28855 19
W 43561 26
R 43561 26
W 8606 7
R 8606 7
W 38186 5
R 38186 5
W 14577 14
R 14577 14
W 40917 23
R 40917 23
W 2581 13
R 2581 13
W 30256 6
R 30256 6
W 10117 11
R 10117 11
W 30412 15
R 30412 15
W 368 17
R 368 17
W 13612 10
R 13612 10
W 11805 1
R 11805 1
W 4416 13
R 4416 13
W 19332 25
R 19332 25
W 21142 28
R 21142 28
W 53893 4
R 53893 4
W 35677 3
R 35677 3
W 9034 3
R 9034 3
W 53788 14
R 53788 14
W 21633 7
R 21633 7
W 8114 30
R 8114 30
W 35178 24
R 35178 24
W 11408 5
R 11408 5
W 2719 30
R 2719 30
W 11632 29
R 11632 29
W 34865 22
R 34865 22
W 54201 12
R 54201 12
W 6406 29
R 6406 29
W 12968 31
R 12968 31
W 32746 17
R 32746 17
W 197 30
R 197 30
W 25086 12
R 25086 12
W 26259 27
R 26259 27
W 44203 4
R 44203 4
W 387 25
R 387 25
W 43680 10
R 43680 10
W 16323 29
R 16323 29
W 30488 22
R 30488 22
W 9466 1
R 9466 1
W 4016 17
R 4016 17
W 19911 30
R 19911 30
W 38151 4
R 38151 4
W 20015 26
R 20015 26
W 9849 29
R 9849 29
W 4759 19
R 4759 19
W 1557 16
R 1557 16
W 14548 1
R 14548 1
W 24447 13
R 24447 13
W 52571 7
R 52571 7
W 47127 3
R 47127 3
W 52567 26
R 52567 26
W 45076 19
R 45076 19
W 46786 10
R 46786 10
W 31086 23
R 31086 23
W 43236 24
R 43236 24
W 3623 7
R 3623 7
W 255 11
R 255 11
W 6187 29
R 6187 29
W 12603 6
R 12603 6
W 36869 27
R 36869 27
W 50440 6
R 50440 6
W 5935 7
R 5935 7
W 48686 5
R 48686 5
W 40260 29
R 40260 29
W 17113 3
R 17113 3
W 31336 8
R 31336 8
W 55314 8
R 55314 8
W 15690 18
R 15690 18
W 29097 31
R 29097 31
W 35474 23
R 35474 23
W 8150 12
R 8150 12
W 4408 9
R 4408 9
W 15336 3
R 15336 3
W 12291 27
R 12291 27
W 10248 29
R 10248 29
W 37110 28
R 37110 28
W 5667 1
R 5667 1
W 2797 6
R 2797 6
W 57043 19
R 57043 19
W 32730 14
R 32730 14
W 56716 30
R 56716 30
W 20956 15
R 20956 15
W 17600 12
R 17600 12
W 25715 18
R 25715 18
W 17887 5
R 17887 5
W 53495 30
R 53495 30
W 34751 5
R 34751 5
W 26251 4
R 26251 4
W 52115 11
R 52115 11
W 12490 12
R 12490 12
W 5783 19
R 5783 19
W 171 5
R 171 5
W 10725 7
R 10725 7
W 267 22
R 267 22
W 29641 11
R 29641 11
W 19045 12
R 19045 12
W 31529 19
R 31529 19
W 9972 10
R 9972 10
W 11113 25
R 11113 25
W 38482 7
R 38482 7
W 31341 5
R 31341 5
W 46846 11
R 46846 11
W 18809 8
R 18809 8
W 42451 15
R 42451 15
W 37913 10
R 37913 10
W 2215 21
R 2215 21
W 30814 31
R 30814 31
W 38763 12
R 38763 12
W 46315 2
R 46315 2
W 43772 29
R 43772 29
W 6492 31
R 6492 31
W 31242 18
R 31242 18
W 29092 3
R 29092 3
W 29806 14
R 29806 14
W 11365 21
R 11365 21
W 3669 19
R 3669 19
W 29194 21
R 29194 21
W 35070 30
R 35070 30
W 49886 7
R 49886 7
W 53391 12
R 53391 12
W 9583 3
R 9583 3
W 423 10
R 423 10
W 49801 24
R 49801 24
W 16400 5
R 16400 5
W 4489 19
R 4489 19
W 49192 6
R 49192 6
W 49263 7
R 49263 7
W 40811 2
R 40811 2
W 56112 15
R 56112 15
W 53024 30
R 53024 30
W 7834 1
R 7834 1
W 36456 25
R 36456 25
W 33481 13
R 33481 13
W 19496 15
R 19496 15
W 26168 3
R 26168 3
W 40094 31
R 40094 31
W 13806 25
R 13806 25
W 10612 5
R 10612 5
W 5976 26
R 5976 26
W 36843 11
R 36843 11
W 21650 7
R 21650 7
W 13255 26
R 13255 26
W 51782 3
R 51782 3
W 26388 20
R 26388 20
W 50955 6
R 50955 6
W 52493 19
R 52493 19
W 5033 1
R 5033 1
W 22091 25
R 22091 25
W 37596 1
R 37596 1
W 39962 30
R 39962 30
W 48939 1
R 48939 1
W 33980 6
R 33980 6
W 55039 3
R 55039 3
W 52625 8
R 52625 8
W 6070 15
R 6070 15
W 5945 5
R 5945 5
W 3473 2
R 3473 2
W 33097 31
R 33097 31
W 7730 21
R 7730 21
W 32078 18
R 32078 18
W 16017 3
R 16017 3
W 35555 29
R 35555 29
W 42449 12
R 42449 12
W 34989 14
R 34989 14
W 17314 26
R 17314 26
W 20930 13
R 20930 13
W 32129 4
R 32129 4
W 55271 15
R 55271 15
W 33968 22
R 33968 22
W 17111 31
R 17111 31
W 17142 9
R 17142 9
W 2222 23
R 2222 23
W 34064 29
R 34064 29
W 2142 9
R 2142 9
W 29268 6
R 29268 6
W 18560 8
R 18560 8
W 53256 25
R 53256 25
W 49951 9
R 49951 9
W 38034 23
R 38034 23
W 52871 16
R 52871 16
W 28821 28
R 28821 28
W 56065 7
R 56065 7
W 54984 9
R 54984 9
W 25238 3
R 25238 3
W 30818 9
R 30818 9
W 55262 1
R 55262 1
W 57214 30
R 57214 30
W 43999 23
R 43999 23
W 27267 9
R 27267 9
W 51153 9
R 51153 9
W 6634 23
R 6634 23
W 28092 22
R 28092 22
W 948 19
R 948 19
W 32716 19
R 32716 19
W 31913 15
R 31913 15
W 20602 24
R 20602 24
W 20125 25
R 20125 25
W 56148 7
R 56148 7
W 56933 15
R 56933 15
W 32990 29
R 32990 29
W 50007 7
R 50007 7
W 4639 7
R 4639 7
W 14665 18
R 14665 18
W 1892 30
R 1892 30
W 29243 26
R 29243 26
W 24740 9
R 24740 9
W 8070 23
R 8070 23
W 30233 30
R 30233 30
W 7996 22
R 7996 22
W 31617 17
R 31617 17
W 9273 18
R 9273 18
W 26915 13
R 26915 13
W 55159 1
R 55159 1
W 38971 10
R 38971 10
W 33377 26
R 33377 26
W 19619 5
R 19619 5
W 20950 2
R 20950 2
W 2190 5
R 2190 5
W 7360 7
R 7360 7
W 12011 12
R 12011 12
W 48935 8
R 48935 8
W 56098 15
R 56098 15
W 24048 14
R 24048 14
W 49640 7
R 49640 7
W 18208 29
R 18208 29
W 47378 5
R 47378 5
W 10596 26
R 10596 26
W 48687 22
R 48687 22
W 26285 1
R 26285 1
W 54968 8
R 54968 8
W 28548 5
R 28548 5
W 11975 25
R 11975 25
W 25118 21
R 25118 21
W 19577 23
R 19577 23
W 1864 28
R 1864 28
W 52699 24
R 52699 24
W 51956 18
R 51956 18
W 42269 3
R 42269 3
W 14904 16
R 14904 16
W 34321 28
R 34321 28
W 1134 27
R 1134 27
W 44210 24
R 44210 24
W 24920 14
R 24920 14
W 11951 16
R 11951 16
W 332 11
R 332 11
W 45332 7
R 45332 7
W 18627 4
R 18627 4
W 4651 17
R 4651 17
W 55089 25
R 55089 25
W 10689 16
R 10689 16
W 47626 4
R 47626 4
W 50410 24
R 50410 24
W 41113 12
R 41113 12
W 52707 16
R 52707 16
W 12557 30
R 12557 30
W 15401 7
R 15401 7
W 37655 9
R 37655 9
W 9038 14
R 9038 14
W 37821 10
R 37821 10
W 48245 3
R 48245 3
W 14181 20
R 14181 20
W 50650 29
R 50650 29
W 28004 5
R 28004 5
W 2826 12
R 2826 12
W 13995 15
R 13995 15
W 25360 16
R 25360 16
W 3175 1
R 3175 1
W 30131 5
R 30131 5
W 45569 28
R 45569 28
W 34769 6
R 34769 6
W 38794 28
R 38794 28
W 55434 17
R 55434 17
W 52438 9
R 52438 9
W 16145 25
R 16145 25
W 3542 27
R 3542 27
W 54685 4
R 54685 4
W 35087 3
R 35087 3
W 34147 2
R 34147 2
W 29565 11
R 29565 11
W 23305 2
R 23305 2
W 42297 6
R 42297 6
W 31453 12
R 31453 12
W 1555 23
R 1555 23
W 24225 16
R 24225 16
W 21543 30
R 21543 30
W 31523 12
R 31523 12
W 43630 31
R 43630 31
W 5715 28
R 5715 28
W 12166 25
R 12166 25
W 55256 23
R 55256 23
W 12522 16
R 12522 16
W 25239 30
R 25239 30
W 18668 22
R 18668 22
W 45165 23
R 45165 23
W 39016 9
R 39016 9
W 26258 24
R 26258 24
W 2448 8
R 2448 8
W 3907 18
R 3907 18
W 45569 15
R 45569 15
W 34744 13
R 34744 13
W 13399 21
R 13399 21
W 53722 5
R 53722 5
W 13961 19
R 13961 19
W 22026 22
R 22026 22
W 7570 21
R 7570 21
W 33643 28
R 33643 28
W 47959 3
R 47959 3
W 2166 18
R 2166 18
W 52733 24
R 52733 24
W 173 23
R 173 23
W 50266 31
R 50266 31
W 41991 14
R 41991 14
W 2224 16
R 2224 16
W 40333 1
R 40333 1
W 49455 29
R 49455 29
W 49369 10
R 49369 10
W 2082 6
R 2082 6
W 54348 2
R 54348 2
W 31458 14
R 31458 14
W 33979 31
R 33979 31
W 22584 3
R 22584 3
W 42737 5
R 42737 5
W 44585 22
R 44585 22
W 14290 28
R 14290 28
W 26699 29
R 26699 29
W 651 11
R 651 11
W 24512 30
R 24512 30
W 6799 30
R 6799 30
W 14813 18
R 14813 18
W 17185 9
R 17185 9
W 48483 9
R 48483 9
W 4243 30
R 4243 30
W 38574 31
R 38574 31
W 1072 2
R 1072 2
W 3893 19
R 3893 19
W 43525 13
R 43525 13
W 20754 28
R 20754 28
W 23292 23
R 23292 23
W 8286 3
R 8286 3
W 39777 26
R 39777 26
W 43854 31
R 43854 31
W 38223 23
R 38223 23
W 9343 23
R 9343 23
W 29566 10
R 29566 10
W 18428 15
R 18428 15
W 14697 23
R 14697 23
W 39578 3
R 39578 3
W 51940 4
R 51940 4
W 3803 14
R 3803 14
W 25305 14
R 25305 14
W 14336 5
R 14336 5
W 17789 19
R 17789 19
W 32212 7
R 32212 7
W 34893 15
R 34893 15
W 21320 24
R 21320 24
W 1757 7
R 1757 7
W 41370 9
R 41370 9
W 10661 21
R 10661 21
W 19467 15
R 19467 15
W 1143 8
R 1143 8
W 13251 14
R 13251 14
W 39270 20
R 39270 20
W 26589 13
R 26589 13
W 8101 18
R 8101 18
W 13151 24
R 13151 24
W 29897 26
R 29897 26
W 36700 22
R 36700 22
W 46193 25
R 46193 25
W 31424 20
R 31424 20
W 43876 5
R 43876 5
W 24684 12
R 24684 12
W 52382 3
R 52382 3
W 28269 7
R 28269 7
W 51232 18
R 51232 18
W 37735 17
R 37735 17
W 20096 16
R 20096 16
W 2680 20
R 2680 20
W 38279 14
R 38279 14
W 19505 20
R 19505 20
W 51469 25
R 51469 25
W 14251 25
R 14251 25
W 35567 5
R 35567 5
W 6173 27
R 6173 27
W 54328 11
R 54328 11
W 31774 3
R 31774 3
W 16613 24
R 16613 24
W 29149 23
R 29149 23
W 48785 1
R 48785 1
W 967 14
R 967 14
W 31428 14
R 31428 14
W 29513 9
R 29513 9
W 15960 26
R 15960 26
W 37163 26
R 37163 26
W 53270 27
R 53270 27
W 26891 3
R 26891 3
W 15597 24
R 15597 24
W 5882 6
R 5882 6
W 18366 10
R 18366 10
W 10045 26
R 10045 26
W 25076 14
R 25076 14
W 48019 30
R 48019 30
W 24550 7
R 24550 7
W 36956 28
R 36956 28
W 52667 15
R 52667 15
W 42281 22
R 42281 22
W 2897 6
R 2897 6
W 4548 21
R 4548 21
W 38451 25
R 38451 25
W 56712 3
R 56712 3
W 32844 27
R 32844 27
W 24428 7
R 24428 7
W 51018 30
R 51018 30
W 25879 14
R 25879 14
W 17789 10
R 17789 10
W 11007 23
R 11007 23
W 4016 2
R 4016 2
W 19018 27
R 19018 27
W 5122 9
R 5122 9
W 28174 11
R 28174 11
W 20170 29
R 20170 29
W 19005 18
R 19005 18
W 19369 27
R 19369 27
W 17349 29
R 17349 29
W 57073 20
R 57073 20
W 34853 5
R 34853 5
W 34786 3
R 34786 3
W 7287 31
R 7287 31
W 7672 20
R 7672 20
W 24117 5
R 24117 5
W 3555 18
R 3555 18
W 10983 17
R 10983 17
W 28614 15
R 28614 15
W 27946 22
R 27946 22
W 12249 31
R 12249 31
W 25990 12
R 25990 12
W 3696 29
R 3696 29
W 39103 27
R 39103 27
W 3013 3
R 3013 3
W 23542 11
R 23542 11
W 7635 22
R 7635 22
W 27124 1
R 27124 1
W 35758 24
R 35758 24
W 46305 18
R 46305 18
W 2042 11
R 2042 11
W 3356 7
R 3356 7
W 40010 16
R 40010 16
W 4976 13
R 4976 13
W 27958 31
R 27958 31
W 20441 19
R 20441 19
W 15316 2
R 15316 2
W 56242 22
R 56242 22
W 17699 26
R 17699 26
W 42078 21
R 42078 21
W 20727 8
R 20727 8
W 15263 12
R 15263 12
W 42097 11
R 42097 11
W 54399 15
R 54399 15
W 3071 9
R 3071 9
W 47557 14
R 47557 14
W 48247 21
R 48247 21
W 43478 12
R 43478 12
W 40678 7
R 40678 7
W 17618 30
R 17618 30
W 7649 24
R 7649 24
W 35115 2
R 35115 2
W 18954 13
R 18954 13
W 41978 20
R 41978 20
W 55631 7
R 55631 7
W 49175 30
R 49175 30
W 18605 2
R 18605 2
W 30992 7
R 30992 7
W 33098 19
R 33098 19
W 7485 14
R 7485 14
W 5872 22
R 5872 22
W 16706 12
R 16706 12
W 32229 11
R 32229 11
W 3112 11
R 3112 11
W 43102 10
R 43102 10
W 18663 21
R 18663 21
W 42405 23
R 42405 23
W 8181 23
R 8181 23
W 14063 12
R 14063 12
W 32478 11
R 32478 11
W 3144 13
R 3144 13
W 14981 30
R 14981 30
W 15019 17
R 15019 17
W 532 26
R 532 26
W 8485 24
R 8485 24
W 18750 29
R 18750 29
W 54868 30
R 54868 30
W 52092 20
R 52092 20
W 30104 28
R 30104 28
W 45316 24
R 45316 24
W 2207 5
R 2207 5
W 50231 6
R 50231 6
W 44029 1
R 44029 1
W 40437 31
R 40437 31
W 34844 1
R 34844 1
W 4908 29
R 4908 29
W 23496 14
R 23496 14
W 35161 26
R 35161 26
W 327 28
R 327 28
W 21097 1
R 21097 1
W 35519 24
R 35519 24
W 14978 30
R 14978 30
W 1576 5
R 1576 5
W 5453 31
R 5453 31
W 40356 15
R 40356 15
W 31159 4
R 31159 4
W 32829 2
R 32829 2
W 21640 11
R 21640 11
W 16923 30
R 16923 30
W 12071 13
R 12071 13
W 3920 15
R 3920 15
W 7835 9
R 7835 9
W 20485 1
R 20485 1
W 396 23
R 396 23
W 13154 22
R 13154 22
W 29625 14
R 29625 14
W 53148 19
R 53148 19
W 24372 5
R 24372 5
W 37947 28
R 37947 28
W 20869 21
R 20869 21
W 56019 21
R 56019 21
W 55330 25
R 55330 25
W 10539 27
R 10539 27
W 34634 23
R 34634 23
W 57128 14
R 57128 14
W 5501 20
R 5501 20
W 47301 11
R 47301 11
W 14737 21
R 14737 21
W 48140 29
R 48140 29
W 23063 4
R 23063 4
W 28434 2
R 28434 2
W 52623 31
R 52623 31
W 23564 27
R 23564 27
W 5235 9
R 5235 9
W 24901 2
R 24901 2
W 16934 28
R 16934 28
W 4405 16
R 4405 16
W 38696 12
R 38696 12
W 18164 25
R 18164 25
W 26022 2
R 26022 2
W 54501 4
R 54501 4
W 13461 30
R 13461 30
W 28475 16
R 28475 16
W 46709 18
R 46709 18
W 26948 28
R 26948 28
W 15030 30
R 15030 30
W 56924 5
R 56924 5
W 5894 14
R 5894 14
W 5385 28
R 5385 28
W 19120 19
R 19120 19
W 20850 16
R 20850 16
W 45671 21
R 45671 21
W 42784 5
R 42784 5
W 23815 8
R 23815 8
W 34819 30
R 34819 30
W 5168 31
R 5168 31
W 7632 26
R 7632 26
W 19090 11
R 19090 11
W 30445 13
R 30445 13
W 38994 22
R 38994 22
W 4499 16
R 4499 16
W 47240 3
R 47240 3
W 39758 15
R 39758 15
W 19033 16
R 19033 16
W 47880 2
R 47880 2
W 9894 8
R 9894 8
W 8672 14
R 8672 14
W 20257 12
R 20257 12
W 8862 24
R 8862 24
W 38676 11
R 38676 11
W 28373 24
R 28373 24
W 18313 21
R 18313 21
W 46091 5
R 46091 5
W 55728 27
R 55728 27
W 21283 25
R 21283 25
W 11049 22
R 11049 22
W 9483 2
R 9483 2
W 29862 26
R 29862 26
W 37696 4
R 37696 4
W 28848 25
R 28848 25
W 21513 7
R 21513 7
W 23234 18
R 23234 18
W 20581 26
R 20581 26
W 7914 2
R 7914 2
W 30219 15
R 30219 15
W 56740 6
R 56740 6
W 16707 17
R 16707 17
W 20869 22
R 20869 22
W 30536 23
R 30536 23
W 16454 3
R 16454 3
W 40248 1
R 40248 1
W 20258 22
R 20258 22
W 20258 15
R 20258 15
W 25244 15
R 25244 15
W 25288 21
R 25288 21
W 12459 22
R 12459 22
W 19107 9
R 19107 9
W 3258 11
R 3258 11
W 13649 4
R 13649 4
W 52747 19
R 52747 19
W 33187 21
R 33187 21
W 36925 21
R 36925 21
W 53468 17
R 53468 17
W 38965 23
R 38965 23
W 3320 26
R 3320 26
W 21136 23
R 21136 23
W 17387 16
R 17387 16
W 19571 25
R 19571 25
W 17787 26
R 17787 26
W 21872 16
R 21872 16
W 33371 15
R 33371 15
W 16148 7
R 16148 7
W 53640 11
R 53640 11
W 26631 22
R 26631 22
W 6003 27
R 6003 27
W 45622 27
R 45622 27
W 450 30
R 450 30
W 15356 18
R 15356 18
W 9269 25
R 9269 25
W 15044 23
R 15044 23
W 36013 31
R 36013 31
W 47965 12
R 47965 12
W 3847 24
R 3847 24
W 9126 13
R 9126 13
W 38623 10
R 38623 10
W 56517 29
R 56517 29
W 48945 31
R 48945 31
W 1594 13
R 1594 13
W 10151 18
R 10151 18
W 46995 20
R 46995 20
W 33876 9
R 33876 9
W 47152 25
R 47152 25
W 52284 29
R 52284 29
W 22710 21
R 22710 21
W 43102 15
R 43102 15
W 8607 8
R 8607 8
W 8398 22
R 8398 22
W 1444 25
R 1444 25
W 50381 21
R 50381 21
W 25687 30
R 25687 30
W 25184 29
R 25184 29
W 38119 22
R 38119 22
W 23797 26
R 23797 26
W 53834 3
R 53834 3
W 2403 31
R 2403 31
W 41911 21
R 41911 21
W 13222 4
R 13222 4
W 5070 12
R 5070 12
W 12309 20
R 12309 20
W 53332 18
R 53332 18
W 28671 10
R 28671 10
W 3455 11
R 3455 11
W 52975 12
R 52975 12
W 12450 12
R 12450 12
W 56429 6
R 56429 6
W 3945 30
R 3945 30
W 46614 2
R 46614 2
W 32862 29
R 32862 29
W 24434 16
R 24434 16
W 30633 7
R 30633 7
W 56454 21
R 56454 21
W 54924 21
R 54924 21
W 30536 6
R 30536 6
W 4111 20
R 4111 20
W 22239 30
R 22239 30
W 32721 22
R 32721 22
W 53846 30
R 53846 30
W 14251 5
R 14251 5
W 16499 2
R 16499 2
W 13570 6
R 13570 6
W 48455 23
R 48455 23
W 31661 10
R 31661 10
W 2235 19
R 2235 19
W 42602 20
R 42602 20
W 11955 4
R 11955 4
W 45314 16
R 45314 16
W 14707 16
R 14707 16
W 15206 13
R 15206 13
W 29162 5
R 29162 5
W 22553 10
R 22553 10
W 3032 3
R 3032 3
W 57255 8
R 57255 8
W 17722 27
R 17722 27
W 32627 6
R 32627 6
W 24480 24
R 24480 24
W 33421 4
R 33421 4
W 55520 12
R 55520 12
W 45125 8
R 45125 8
W 55877 15
R 55877 15
W 18889 31
R 18889 31
W 29890 16
R 29890 16
W 13362 9
R 13362 9
W 33371 18
R 33371 18
W 24306 18
R 24306 18
W 39693 17
R 39693 17
W 48398 22
R 48398 22
W 28406 23
R 28406 23
W 25875 18
R 25875 18
W 54280 10
R 54280 10
W 14814 13
R 14814 13
W 30972 1
R 30972 1
W 20624 15
R 20624 15
W 39590 25
R 39590 25
W 21369 11
R 21369 11
W 22405 13
R 22405 13
W 40420 22
R 40420 22
W 30734 21
R 30734 21
W 31357 25
R 31357 25
W 16815 15
R 16815 15
W 11950 25
R 11950 25
W 28795 3
R 28795 3
W 25506 16
R 25506 16
W 34931 11
R 34931 11
W 37793 9
R 37793 9
W 36157 21
R 36157 21
W 36900 17
R 36900 17
W 27115 3
R 27115 3
W 38934 3
R 38934 3
W 393 19
R 393 19
W 39292 31
R 39292 31
W 35026 19
R 35026 19
W 1366 24
R 1366 24
W 10616 18
R 10616 18
W 6986 8
R 6986 8
W 14659 24
R 14659 24
W 2020 29
R 2020 29
W 5557 12
R 5557 12
W 43311 17
R 43311 17
W 5181 12
R 5181 12
W 6820 8
R 6820 8
W 10832 12
R 10832 12
W 51123 23
R 51123 23
W 35708 24
R 35708 24
W 39116 3
R 39116 3
W 27481 2
R 27481 2
W 42516 5
R 42516 5
W 35241 20
R 35241 20
